,text,url,state,state_abbr
0,Alabama_CD_1992_2000.zip (122.6 KB),https://thearp.org/documents/12845/Alabama_CD_1992_2000.zip,ALABAMA,AL
1,al_upper_1992_2000.zip (2.5 MB),https://thearp.org/documents/12720/al_upper_1992_2000.zip,AL,AL
2,al_lower_1992_2000.zip (3.5 MB),https://thearp.org/documents/12719/al_lower_1992_2000.zip,AL,AL
3,AL_CD_2002_2010.zip (1.1 MB),https://thearp.org/documents/11011/AL_CD_2002_2010.zip,AL,AL
4,al_upper_2002_2010.zip (2.2 MB),https://thearp.org/documents/10655/al_upper_2002_2010.zip,AL,AL
5,al_lower_2002_2010.zip (3.5 MB),https://thearp.org/documents/10713/al_lower_2002_2010.zip,AL,AL
6,AL_2012to2020_CD.zip (1.0 MB),https://thearp.org/documents/5084/AL_2012to2020_CD.zip,AL,AL
7,AL_2012to2016_SU.zip (2.4 MB),https://thearp.org/documents/5114/AL_2012to2016_SU.zip,AL,AL
8,AL_2012to2016_SL.zip (4.2 MB),https://thearp.org/documents/5217/AL_2012to2016_SL.zip,AL,AL
9,AL_2018to2020_SU.zip (2.4 MB),https://thearp.org/documents/5115/AL_2018to2020_SU.zip,AL,AL
10,AL_2018to2020_SL.zip (4.4 MB),https://thearp.org/documents/5157/AL_2018to2020_SL.zip,AL,AL
11,AL_CD_Enacted11042021_QjvUMkL.zip (1.0 MB),https://thearp.org/documents/583/AL_CD_Enacted11042021_QjvUMkL.zip,AL,AL
12,AL_SD_Enacted11042021_NR3fNLk.zip (2.1 MB),https://thearp.org/documents/589/AL_SD_Enacted11042021_NR3fNLk.zip,AL,AL
13,AL_LD_Enacted_Technical_Changes.zip (4.2 MB),https://thearp.org/documents/12508/AL_LD_Enacted_Technical_Changes.zip,AL,AL
14,AL_CD_Enacted10052023.zip (278.2 KB),https://thearp.org/documents/14445/AL_CD_Enacted10052023.zip,AL,AL
15,AL_SD_Remedial2025.zip (529.9 KB),https://thearp.org/documents/19121/AL_SD_Remedial2025.zip,AL,AL
16,AL_CD_2026.zip (227.5 KB),https://thearp.org/documents/20150/AL_CD_2026.zip,AL,AL
17,Alaska_CD_1992_2000.zip (140.8 KB),https://thearp.org/documents/12846/Alaska_CD_1992_2000.zip,ALASKA,AK
18,ak_upper_1992_2000.zip (1.0 MB),https://thearp.org/documents/12718/ak_upper_1992_2000.zip,AK,AK
19,ak_lower_1992_2000.zip (1.5 MB),https://thearp.org/documents/12717/ak_lower_1992_2000.zip,AK,AK
20,ak_upper_2002_2010.zip (1.4 MB),https://thearp.org/documents/10654/ak_upper_2002_2010.zip,AK,AK
21,ak_lower_2002_2010.zip (1.7 MB),https://thearp.org/documents/10714/ak_lower_2002_2010.zip,AK,AK
22,AK_2012to2020_CD.zip (165.8 KB),https://thearp.org/documents/5083/AK_2012to2020_CD.zip,AK,AK
23,AK_2012_SU.zip (2.0 MB),https://thearp.org/documents/5112/AK_2012_SU.zip,AK,AK
24,AK_2012_SL.zip (2.3 MB),https://thearp.org/documents/5215/AK_2012_SL.zip,AK,AK
25,AK_2014to2020_SU.zip (3.4 MB),https://thearp.org/documents/5113/AK_2014to2020_SU.zip,AK,AK
26,AK_2014to2020_SL.zip (3.9 MB),https://thearp.org/documents/5216/AK_2014to2020_SL.zip,AK,AK
27,AK_US_Cong_2018.zip (164.1 KB),https://thearp.org/documents/592/AK_US_Cong_2018.zip,AK,AK
28,AK_SD_Interim005252022.zip (969.4 KB),https://thearp.org/documents/598/AK_SD_Interim005252022.zip,AK,AK
29,AK_LD_Interim005252022.zip (1.4 MB),https://thearp.org/documents/595/AK_LD_Interim005252022.zip,AK,AK
30,Arizona_CD_1992_2000.zip (87.7 KB),https://thearp.org/documents/12847/Arizona_CD_1992_2000.zip,ARIZONA,AZ
31,AZ_upper_1992-2000.zip (839.2 KB),https://thearp.org/documents/12722/AZ_upper_1992-2000.zip,AZ,AZ
32,AZ_lower_1992_2000.zip (839.2 KB),https://thearp.org/documents/12721/AZ_lower_1992_2000.zip,AZ,AZ
33,AZ_CD_2002_2010.zip (1.1 MB),https://thearp.org/documents/11013/AZ_CD_2002_2010.zip,AZ,AZ
34,az_upper_2002.zip (664.8 KB),https://thearp.org/documents/10657/az_upper_2002.zip,AZ,AZ
35,az_lower_2002.zip (664.7 KB),https://thearp.org/documents/10711/az_lower_2002.zip,AZ,AZ
36,az_upper_2004to2010.zip (662.5 KB),https://thearp.org/documents/10599/az_upper_2004to2010.zip,AZ,AZ
